Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
NE RODNEY AVE / NE SAN RAFAEL ST,21-210690,Society,Eliot,7/31/21,1822,Weapon Law Violations,Weapons Law Violations,45.53707085,-122.664174,7/31/21,1
NE RUSSELL ST / NE 123RD AVE,21-252314,Society,Russell,9/10/21,623,Weapon Law Violations,Weapons Law Violations,45.54124254,-122.5363193,9/10/21,1
NE SANDY BLVD / NE 102ND AVE,21-212083,Society,Parkrose,8/2/21,215,Weapon Law Violations,Weapons Law Violations,45.55911615,-122.557765,8/2/21,1
NE SANDY BLVD / NE 111TH AVE,21-59070,Society,Parkrose,3/5/21,123,Weapon Law Violations,Weapons Law Violations,45.55830015,-122.5486124,3/5/21,1
NE SANDY BLVD / NE SKIDMORE ST,21-239989,Society,Sumner,8/28/21,2359,Weapon Law Violations,Weapons Law Violations,45.55367299,-122.5756209,8/28/21,1
NW 3RD AVE / NW COUCH ST,21-102024,Society,Old Town/Chinatown,4/16/21,848,Weapon Law Violations,Weapons Law Violations,45.52382855,-122.6734077,4/16/21,1
NW 3RD AVE / W BURNSIDE ST,21-7639,Society,Old Town/Chinatown,1/9/21,729,Weapon Law Violations,Weapons Law Violations,45.52312142,-122.6733689,1/9/21,1
NW 4TH AVE / NW COUCH ST,21-11634,Society,Old Town/Chinatown,1/13/21,1315,Weapon Law Violations,Weapons Law Violations,45.52381211,-122.6744219,1/13/21,1
NW 4TH AVE / NW DAVIS ST,21-242821,Society,Old Town/Chinatown,8/31/21,2049,Weapon Law Violations,Weapons Law Violations,45.52452494,-122.6744492,8/31/21,1
NW 5TH AVE / NW DAVIS ST,21-203079,Society,Old Town/Chinatown,7/24/21,1818,Weapon Law Violations,Weapons Law Violations,45.52450575,-122.6754633,7/24/21,1
NW 5TH AVE / NW DAVIS ST,21-251390,Society,Old Town/Chinatown,9/9/21,935,Weapon Law Violations,Weapons Law Violations,45.52450575,-122.6754633,9/9/21,1
NW 6TH AVE / NW DAVIS ST,21-70902,Society,Old Town/Chinatown,3/16/21,1604,Weapon Law Violations,Weapons Law Violations,45.52448936,-122.6764736,3/16/21,1
NW 8TH AVE / NW COUCH ST,21-24991,Society,Pearl,1/27/21,2141,Weapon Law Violations,Weapons Law Violations,45.52373246,-122.678482,1/27/21,1
NW 12TH AVE / NW EVERETT ST,21-27180,Society,Pearl,1/30/21,1101,Weapon Law Violations,Weapons Law Violations,45.5250776,-122.6832137,1/30/21,1
NW 13TH AVE / NW KEARNEY ST,21-252725,Society,Pearl,9/10/21,1343,Weapon Law Violations,Weapons Law Violations,45.52933548,-122.6843845,9/10/21,1
NW 14TH AVE / NW MARSHALL ST,21-680363,Society,Pearl,3/12/21,2340,Weapon Law Violations,Weapons Law Violations,45.53074201,-122.6854458,3/12/21,1
NW 14TH AVE / NW MARSHALL ST,21-680364,Society,Pearl,3/12/21,1150,Weapon Law Violations,Weapons Law Violations,45.53074201,-122.6854458,3/12/21,1
NW 19TH AVE / NW IRVING ST,21-30246,Society,Northwest,2/2/21,1721,Weapon Law Violations,Weapons Law Violations,45.52779939,-122.6904188,2/2/21,1
NW 21ST AVE / NW VAUGHN ST,21-230748,Society,Northwest,8/19/21,2310,Weapon Law Violations,Weapons Law Violations,45.53699457,-122.6948183,8/19/21,1
NW BROADWAY / NW EVERETT ST,21-244468,Society,Pearl,9/2/21,1412,Weapon Law Violations,Weapons Law Violations,45.52518017,-122.6775188,9/2/21,1
NW FLANDERS ST / NW 6TH AVE,21-227534,Society,Old Town/Chinatown,8/16/21,2118,Weapon Law Violations,Weapons Law Violations,45.52591503,-122.6765282,8/16/21,1
NW GLISAN ST / NW 6TH AVE,21-253558,Society,Old Town/Chinatown,9/11/21,1024,Weapon Law Violations,Weapons Law Violations,45.52662794,-122.6765517,9/11/21,1
NW JOHNSON ST / NW 9TH AVE,21-205256,Society,Pearl,7/26/21,1920,Weapon Law Violations,Weapons Law Violations,45.52869716,-122.6802886,7/26/21,1
NW JOHNSON ST / NW 10TH AVE,21-25546,Society,Pearl,1/28/21,1431,Weapon Law Violations,Weapons Law Violations,45.5286777,-122.6813145,1/28/21,1
NW MARSHALL ST / NW 13TH AVE,21-93064,Society,Pearl,4/7/21,1350,Weapon Law Violations,Weapons Law Violations,45.53075818,-122.684451,4/7/21,1
NW NAITO PKWY / FREMONT BRG,21-249803,Society,Pearl,9/7/21,2012,Weapon Law Violations,Weapons Law Violations,45.53606551,-122.6852604,9/7/21,1
S BOND AVE / S ABERNETHY ST,21-680073,Society,South Portland,1/20/21,2154,Weapon Law Violations,Weapons Law Violations,45.49499277,-122.6709273,1/20/21,1
S MOODY AVE / S BANCROFT ST,21-680717,Society,South Portland,5/1/21,2347,Weapon Law Violations,Weapons Law Violations,45.49316899,-122.6720474,5/2/21,1
SB I205 FWY AT / NE KILLINGSWORTH ST,21-194239,Society,,7/15/21,2321,Weapon Law Violations,Weapons Law Violations,45.56097692,-122.5635464,7/15/21,1
SB SW BARBUR BLVD TO / WB SW CAPITOL HWY,21-61959,Society,South Portland,3/7/21,2040,Weapon Law Violations,Weapons Law Violations,45.48066399,-122.6802591,3/7/21,1
SE 2ND AVE / SE YAMHILL ST,21-680023,Society,Buckman West,1/12/21,408,Weapon Law Violations,Weapons Law Violations,45.51580913,-122.6637969,1/12/21,1
SE 14TH AVE / SE MAIN ST,21-108626,Society,Buckman East,4/23/21,757,Weapon Law Violations,Weapons Law Violations,45.51362852,-122.6516396,4/23/21,1
SE 20TH AVE / SE TAGGART ST,21-63003,Society,Hosford-Abernethy,3/8/21,2302,Weapon Law Violations,Weapons Law Violations,45.50268385,-122.6456377,3/8/21,1
SE 35TH AVE / SE CLINTON ST,21-208239,Society,Richmond,7/29/21,1512,Weapon Law Violations,Weapons Law Violations,45.50339358,-122.6285788,7/29/21,1
SE 56TH AVE / SE BUSH ST,21-161530,Society,Foster-Powell,6/14/21,1828,Weapon Law Violations,Weapons Law Violations,45.49546662,-122.6053898,6/14/21,1
SE 67TH AVE / SE BROOKLYN ST,21-97641,Society,South Tabor,4/12/21,218,Weapon Law Violations,Weapons Law Violations,45.50065925,-122.5946425,4/12/21,1
SE 72ND AVE / SE WOODSTOCK BLVD,21-188039,Society,Mt Scott-Arleta,7/10/21,630,Weapon Law Violations,Weapons Law Violations,45.47951562,-122.5892922,7/10/21,1
SE 72ND AVE / SE WOODSTOCK BLVD,21-209845,Society,Mt Scott-Arleta,7/30/21,2307,Weapon Law Violations,Weapons Law Violations,45.47951562,-122.5892922,7/30/21,1
SE 74TH AVE / SE REEDWAY ST,21-243106,Society,Mt Scott-Arleta,9/1/21,425,Weapon Law Violations,Weapons Law Violations,45.48168371,-122.5866925,9/1/21,1
SE 79TH AVE / SE POWELL BLVD,21-145398,Society,Foster-Powell,5/29/21,1957,Weapon Law Violations,Weapons Law Violations,45.49741431,-122.5819256,5/29/21,1
SE 80TH AVE / SE MALDEN ST,21-101882,Society,Brentwood-Darlington,4/16/21,430,Weapon Law Violations,Weapons Law Violations,45.46798628,-122.5816236,4/16/21,1
SE 81ST AVE / SE MORRISON ST,21-259703,Society,Montavilla,9/17/21,1344,Weapon Law Violations,Weapons Law Violations,45.51692071,-122.5802914,9/17/21,1
SE 81ST AVE / SE WASHINGTON ST,21-219378,Society,Montavilla,8/8/21,1955,Weapon Law Violations,Weapons Law Violations,45.51839944,-122.5802949,8/8/21,1
SE 82ND AVE / SE DIVISION ST,21-88303,Society,Montavilla,4/2/21,2306,Weapon Law Violations,Weapons Law Violations,45.50483132,-122.5786859,4/3/21,1
SE 82ND AVE / SE INSLEY ST,21-74413,Society,Foster-Powell,3/20/21,351,Weapon Law Violations,Weapons Law Violations,45.4835336,-122.5789403,3/20/21,1
SE 82ND AVE / SE MITCHELL ST,21-74284,Society,Foster-Powell,3/20/21,30,Weapon Law Violations,Weapons Law Violations,45.48521574,-122.5789239,3/20/21,1
SE 82ND AVE / SE RAYMOND ST,21-242179,Society,Foster-Powell,8/31/21,433,Weapon Law Violations,Weapons Law Violations,45.48658017,-122.5788763,8/31/21,1
SE 82ND AVE / SE STARK ST,21-35438,Society,Montavilla,2/8/21,313,Weapon Law Violations,Weapons Law Violations,45.51912948,-122.5790688,2/8/21,1
SE 82ND AVE / SE STARK ST,21-95809,Society,Montavilla,4/10/21,146,Weapon Law Violations,Weapons Law Violations,45.51912948,-122.5790688,4/10/21,1
SE 82ND AVE / SE STARK ST,21-253359,Society,Montavilla,9/11/21,251,Weapon Law Violations,Weapons Law Violations,45.51912948,-122.5790688,9/11/21,1
SE 86TH AVE / SE GLENWOOD ST,21-105062,Society,Lents,4/17/21,2158,Weapon Law Violations,Weapons Law Violations,45.47396905,-122.5748624,4/19/21,1
SE 92ND AVE / SE PARDEE ST,21-72091,Society,Lents,3/17/21,1934,Weapon Law Violations,Weapons Law Violations,45.48894967,-122.5685989,3/17/21,1
SE 92ND AVE / SE RAMONA ST,21-26542,Society,Lents,1/29/21,1644,Weapon Law Violations,Weapons Law Violations,45.48073798,-122.5686042,1/29/21,1
SE 92ND AVE / SE STEELE ST,21-22811,Society,Lents,1/25/21,1412,Weapon Law Violations,Weapons Law Violations,45.48455991,-122.568599,1/25/21,1
SE 94TH AVE / SE MITCHELL ST,21-2538,Society,Lents,1/3/21,2156,Weapon Law Violations,Weapons Law Violations,45.48562334,-122.5671361,1/3/21,1
SE 99TH AVE / SE PINE ST,21-56501,Society,Hazelwood,3/2/21,1709,Weapon Law Violations,Weapons Law Violations,45.52041714,-122.5622714,3/2/21,1
SE 102ND AVE / SE POWELL BLVD,21-113350,Society,Powellhurst-Gilbert,4/28/21,16,Weapon Law Violations,Weapons Law Violations,45.49574991,-122.5582784,4/28/21,1
SE 102ND AVE / SE WASHINGTON ST,21-157701,Society,Hazelwood,6/10/21,2300,Weapon Law Violations,Weapons Law Violations,45.51833774,-122.5584337,6/10/21,1
SE 104TH AVE / SE HOLGATE BLVD,21-33169,Society,Lents,2/5/21,1638,Weapon Law Violations,Weapons Law Violations,45.48978647,-122.5557649,2/5/21,1
SE 108TH AVE / SE HAROLD ST,21-171449,Society,Lents,6/24/21,1548,Weapon Law Violations,Weapons Law Violations,45.48272754,-122.5525258,6/24/21,1
SE 111TH AVE / SE STARK ST,21-23300,Society,Hazelwood,1/26/21,231,Weapon Law Violations,Weapons Law Violations,45.51898315,-122.5493404,1/26/21,1
SE 112TH AVE / SE BUSH ST,21-251611,Society,Powellhurst-Gilbert,9/9/21,1319,Weapon Law Violations,Weapons Law Violations,45.4949434,-122.5479894,9/9/21,1
SE 115TH AVE / SE MORRISON ST,21-13999,Society,Mill Park,1/15/21,2128,Weapon Law Violations,Weapons Law Violations,45.51684623,-122.5451656,1/15/21,1
SE 122ND AVE / SE HAROLD ST,21-31325,Society,Powellhurst-Gilbert,2/3/21,2040,Weapon Law Violations,Weapons Law Violations,45.48322573,-122.5379569,2/3/21,1
SE 122ND AVE / SE HAROLD ST,21-241108,Society,Powellhurst-Gilbert,8/30/21,356,Weapon Law Violations,Weapons Law Violations,45.48322573,-122.5379569,8/30/21,1
SE 134TH AVE / SE BROOKLYN CT,21-208620,Society,Powellhurst-Gilbert,7/29/21,2318,Weapon Law Violations,Weapons Law Violations,45.50011182,-122.5252708,7/30/21,1
SE 134TH AVE / SE POWELL BLVD,21-69647,Society,Powellhurst-Gilbert,3/15/21,1322,Weapon Law Violations,Weapons Law Violations,45.49757494,-122.5252193,3/15/21,1
SE 136TH AVE / SE POWELL BLVD,21-255250,Society,Powellhurst-Gilbert,9/13/21,124,Weapon Law Violations,Weapons Law Violations,45.497854,-122.5235518,9/13/21,1
SE 138TH AVE / SE CLINTON CT,21-131376,Society,Powellhurst-Gilbert,5/15/21,2256,Weapon Law Violations,Weapons Law Violations,45.50309672,-122.521382,5/16/21,1
SE 139TH AVE / SE MAIN ST,21-54593,Society,Hazelwood,2/28/21,2058,Weapon Law Violations,Weapons Law Violations,45.51386334,-122.521016,2/28/21,1
SE 157TH AVE / SE STARK ST,21-239198,Society,Centennial,8/28/21,146,Weapon Law Violations,Weapons Law Violations,45.51914932,-122.5016284,8/28/21,1
SE 160TH AVE / SE ALDER ST,21-260091,Society,Centennial,9/17/21,2150,Weapon Law Violations,Weapons Law Violations,45.51733333,-122.4990941,9/18/21,1
SE 170TH AVE / SE POWELL BLVD,21-102911,Society,Centennial,4/17/21,438,Weapon Law Violations,Weapons Law Violations,45.49295435,-122.4878717,4/17/21,1
SE ANKENY ST / SE 122ND AVE,21-166931,Society,Hazelwood,6/20/21,422,Weapon Law Violations,Weapons Law Violations,45.52177614,-122.5377677,6/20/21,1
SE ASH ST / SE 119TH AVE,21-28489,Society,Hazelwood,1/31/21,2007,Weapon Law Violations,Weapons Law Violations,45.52107976,-122.5403693,1/31/21,1
SE CLINTON ST / SE 122ND AVE,21-50455,Society,Powellhurst-Gilbert,2/24/21,1704,Weapon Law Violations,Weapons Law Violations,45.50230947,-122.537678,2/24/21,1
SE DIVISION ST / SE 87TH AVE,21-232630,Society,Montavilla,8/21/21,1940,Weapon Law Violations,Weapons Law Violations,45.50456011,-122.5733501,8/21/21,1
SE DIVISION ST / SE 92ND AVE,21-183176,Society,Powellhurst-Gilbert,7/5/21,2021,Weapon Law Violations,Weapons Law Violations,45.5044723,-122.5686336,7/5/21,1
SE DIVISION ST / SE 119TH AVE,21-130476,Society,Powellhurst-Gilbert,5/14/21,2331,Weapon Law Violations,Weapons Law Violations,45.50412064,-122.5408994,5/15/21,1
SE DIVISION ST / SE 119TH AVE,21-226622,Society,Powellhurst-Gilbert,8/15/21,2242,Weapon Law Violations,Weapons Law Violations,45.50412064,-122.5408994,8/16/21,1
SE DIVISION ST / SE 145TH AVE,21-21414,Society,Centennial,1/23/21,2144,Weapon Law Violations,Weapons Law Violations,45.50416633,-122.5139055,1/23/21,1
SE DIVISION ST / SE 145TH AVE,21-236301,Society,Centennial,8/25/21,925,Weapon Law Violations,Weapons Law Violations,45.50416633,-122.5139055,8/25/21,1
SE DIVISION ST / SE 162ND AVE,21-75283,Society,Centennial,3/21/21,101,Weapon Law Violations,Weapons Law Violations,45.5045722,-122.4966278,3/21/21,1
SE DIVISION ST / SE 162ND AVE,21-214974,Society,Centennial,8/4/21,1908,Weapon Law Violations,Weapons Law Violations,45.5045722,-122.4966278,8/4/21,1
SE FLAVEL ST / SPRINGWATER TRAIL CORR,21-99937,Society,Lents,4/13/21,1513,Weapon Law Violations,Weapons Law Violations,45.46850987,-122.5723976,4/14/21,1
SE FOSTER RD / SE 84TH AVE,21-118481,Society,Lents,5/3/21,239,Weapon Law Violations,Weapons Law Violations,45.48209189,-122.5768907,5/3/21,1
SE FOSTER RD / SE 88TH AVE,21-203008,Society,Lents,7/24/21,1610,Weapon Law Violations,Weapons Law Violations,45.48094265,-122.5723167,7/24/21,1
SE FOSTER RD / SE 111TH AVE,21-248781,Society,Powellhurst-Gilbert,9/6/21,2340,Weapon Law Violations,Weapons Law Violations,45.47604275,-122.549379,9/7/21,1
SE HAROLD ST / SE 61ST AVE,21-79301,Society,Mt Scott-Arleta,3/25/21,500,Weapon Law Violations,Weapons Law Violations,45.48304704,-122.6008499,3/25/21,1
SE HAROLD ST / SE 135TH AVE,21-5616,Society,Powellhurst-Gilbert,1/7/21,23,Weapon Law Violations,Weapons Law Violations,45.48344076,-122.5248716,1/7/21,1
SE HOLGATE BLVD / SE 29TH AVE,21-109275,Society,Reed,4/23/21,1857,Weapon Law Violations,Weapons Law Violations,45.4903075,-122.6353168,4/23/21,1
SE HOLGATE BLVD / SE 111TH AVE,21-151983,Society,Lents,6/5/21,254,Weapon Law Violations,Weapons Law Violations,45.48976393,-122.5490432,6/5/21,1
SE KELLY ST / SE 122ND AVE,21-147185,Society,Powellhurst-Gilbert,5/31/21,1453,Weapon Law Violations,Weapons Law Violations,45.4991081,-122.5376568,5/31/21,1
SE LINCOLN ST / SE 85TH AVE,21-88460,Society,Montavilla,4/3/21,215,Weapon Law Violations,Weapons Law Violations,45.50758796,-122.5756887,4/3/21,1
SE MCLOUGHLIN BLVD / SE TACOMA ST,21-6044,Society,Sellwood-Moreland,1/7/21,1400,Weapon Law Violations,Weapons Law Violations,45.46534196,-122.6384612,1/7/21,1
SE MITCHELL ST / SE 60TH AVE,21-8203,Society,Mt Scott-Arleta,1/9/21,1921,Weapon Law Violations,Weapons Law Violations,45.48540817,-122.6021112,1/9/21,1
SE POWELL BLVD / SE 88TH AVE,21-70479,Society,Powellhurst-Gilbert,3/16/21,847,Weapon Law Violations,Weapons Law Violations,45.49739864,-122.5723241,3/16/21,1
SE POWELL BLVD / SE 112TH AVE,21-163513,Society,Powellhurst-Gilbert,6/16/21,1551,Weapon Law Violations,Weapons Law Violations,45.49656781,-122.5479778,6/16/21,1
SE POWELL BLVD / SE 118TH AVE,21-20613,Society,Powellhurst-Gilbert,1/22/21,2309,Weapon Law Violations,Weapons Law Violations,45.49693036,-122.5421001,1/22/21,1
SE POWELL BLVD / SE 124TH AVE,21-10157,Society,Powellhurst-Gilbert,1/12/21,2,Weapon Law Violations,Weapons Law Violations,45.49713034,-122.5359356,1/12/21,1
SE POWELL BLVD / SE 128TH AVE,21-219693,Society,Powellhurst-Gilbert,8/9/21,244,Weapon Law Violations,Weapons Law Violations,45.49727342,-122.5318835,8/9/21,1
SE POWELL BLVD / SE 162ND AVE,21-226678,Society,Centennial,8/15/21,2347,Weapon Law Violations,Weapons Law Violations,45.4947746,-122.496654,8/16/21,1
SE RHINE CT / SE 162ND AVE,21-17914,Society,Centennial,1/20/21,417,Weapon Law Violations,Weapons Law Violations,45.49733607,-122.4968689,1/20/21,1
SE RHONE ST / SE 66TH AVE,21-68879,Society,Foster-Powell,3/14/21,1807,Weapon Law Violations,Weapons Law Violations,45.49568424,-122.59529,3/14/21,1
SE STARK ST / SE 122ND AVE,21-113287,Society,Hazelwood,4/27/21,2251,Weapon Law Violations,Weapons Law Violations,45.51902137,-122.537782,4/28/21,1
SE STARK ST / SE 122ND AVE,21-217657,Society,Hazelwood,8/7/21,427,Weapon Law Violations,Weapons Law Violations,45.51902137,-122.537782,8/7/21,1
SE STARK ST / SE 133RD AVE,21-124291,Society,Hazelwood,5/9/21,19,Weapon Law Violations,Weapons Law Violations,45.51908701,-122.5261583,5/9/21,1
SE STARK ST / SE 139TH AVE,21-165902,Society,Hazelwood,6/19/21,12,Weapon Law Violations,Weapons Law Violations,45.51910063,-122.5210229,6/19/21,1
SE STARK ST / SE 143RD AVE,21-207678,Society,Centennial,7/29/21,324,Weapon Law Violations,Weapons Law Violations,45.51911745,-122.5158485,7/29/21,1
SE STARK ST / SE 143RD AVE,21-237388,Society,Centennial,8/26/21,1057,Weapon Law Violations,Weapons Law Violations,45.51911745,-122.5158485,8/26/21,1
SW 2ND AVE / SW YAMHILL ST,21-233538,Society,Downtown,8/22/21,1747,Weapon Law Violations,Weapons Law Violations,45.51732223,-122.6749149,8/22/21,1
SW 3RD AVE / SW HARVEY MILK ST,21-162344,Society,Downtown,6/15/21,1501,Weapon Law Violations,Weapons Law Violations,45.5202529,-122.6744573,6/15/21,1
SW 3RD AVE / SW OAK ST,21-226977,Society,Downtown,8/16/21,1104,Weapon Law Violations,Weapons Law Violations,45.52091821,-122.6740964,8/16/21,1
SW 5TH AVE / SW WASHINGTON ST,21-25541,Society,Downtown,1/28/21,1417,Weapon Law Violations,Weapons Law Violations,45.52013057,-122.6768607,1/28/21,1
SW 9TH AVE / SW ALDER ST,21-261036,Society,Downtown,9/18/21,2036,Weapon Law Violations,Weapons Law Violations,45.52041836,-122.6807825,9/18/21,1
SW 10TH AVE / SW JEFFERSON ST,21-237561,Society,Downtown,8/26/21,1352,Weapon Law Violations,Weapons Law Violations,45.51601161,-122.6842701,8/26/21,1
SW 12TH AVE / SW COLUMBIA ST,21-145994,Society,Downtown,5/30/21,1148,Weapon Law Violations,Weapons Law Violations,45.51589182,-122.6866734,5/30/21,1
SW 12TH AVE / SW JEFFERSON ST,21-225112,Society,Downtown,8/14/21,1036,Weapon Law Violations,Weapons Law Violations,45.51655724,-122.6863088,8/14/21,1
SW 12TH AVE / SW WASHINGTON ST,21-251137,Society,Downtown,9/9/21,144,Weapon Law Violations,Weapons Law Violations,45.52188822,-122.6834228,9/9/21,1
SW ANKENY ST / SW 2ND AVE,21-134538,Society,Old Town/Chinatown,5/19/21,647,Weapon Law Violations,Weapons Law Violations,45.52253149,-122.6722105,5/19/21,1
SW ASH ST / SW 2ND AVE,21-68524,Society,Old Town/Chinatown,3/14/21,1054,Weapon Law Violations,Weapons Law Violations,45.52200132,-122.6723893,3/14/21,1
SW BARBUR BLVD / SW CAPITOL HWY&BARBUR BLVD RAMP,21-169534,Society,Hillsdale,6/22/21,2000,Weapon Law Violations,Weapons Law Violations,45.48249938,-122.6805557,6/22/21,1
SW BEAVERTON HILLSDALE HWY / SW BERTHA BLVD,21-145023,Society,Hillsdale,5/29/21,1310,Weapon Law Violations,Weapons Law Violations,45.47851239,-122.6994196,5/29/21,1
SW BROADWAY / SW 6TH AVE,21-157194,Society,Southwest Hills,6/10/21,1232,Weapon Law Violations,Weapons Law Violations,45.50714983,-122.6842531,6/10/21,1
SW BROADWAY / SW MILL ST,21-138682,Society,Downtown,5/23/21,633,Weapon Law Violations,Weapons Law Violations,45.51268685,-122.683229,5/23/21,1
SW BROADWAY / SW TAYLOR ST,21-225663,Society,Downtown,8/14/21,2237,Weapon Law Violations,Weapons Law Violations,45.5180122,-122.6803467,8/14/21,1
SW CEDAR HILLS BLVD / SUNSET HWY EB,21-140894,Society,,5/25/21,1357,Weapon Law Violations,Weapons Law Violations,45.51394194,-122.7939821,5/25/21,1
SW MAIN ST / SW 1ST AVE,21-131925,Society,Downtown,5/16/21,1600,Weapon Law Violations,Weapons Law Violations,45.51507532,-122.6750513,5/16/21,1
SW NAITO PKWY / SW SALMON ST,21-181993,Society,Downtown,7/4/21,1605,Weapon Law Violations,Weapons Law Violations,45.51546157,-122.6736338,7/4/21,1
SW NAITO PKWY / W BURNSIDE ST,21-63221,Society,Old Town/Chinatown,3/9/21,806,Weapon Law Violations,Weapons Law Violations,45.52310289,-122.6702847,3/9/21,1
SW WASHINGTON ST / SW 2ND AVE,21-89473,Society,Downtown,4/4/21,113,Weapon Law Violations,Weapons Law Violations,45.5193209,-122.6738323,4/4/21,1
SW WASHINGTON ST / SW 9TH AVE,21-35760,Society,Downtown,2/8/21,1247,Weapon Law Violations,Weapons Law Violations,45.52108088,-122.6804255,2/8/21,1
W BURNSIDE ST / SW 20TH AVE,21-205854,Society,Northwest,7/27/21,1106,Weapon Law Violations,Weapons Law Violations,45.52311626,-122.6922716,7/27/21,1